Idpig,ear,dam,sex,line,gen,bwt,fost_dam,wwt,sire,f_date,w_date,DateBled,BleedAge,WBC,RBC,Hemoglobin,Hematocrit,MCV,MCH,MCHC,RDW,Platelet-Auto,MPV,Neutrophil,Lymphocyte,Monocyte,Eosinophil,Basophil,UnidentifiedCells,PlateletsClumped
208004602,4602,3710,3,1,8,2.5,205,11,17108,7/26/2011,8/18/2011,8/30/2011,35,18.11,6.11,10.1,34.6,56.6,16.5,29.1,25.4,1001,10.3,10.43,6.79,0.42,0.13,0.02,0.31,Yes
208000106,106,406,2,2,8,2.1,,11,13002,7/17/2011,8/11/2011,8/26/2011,40,15.4,6.17,10.2,33.6,54.3,16.5,30.4,20.1,576,9.8,8.72,5.62,0.63,0.12,0.02,0.29,No
208000107,107,406,2,2,8,2.9,,12.5,13002,7/17/2011,8/11/2011,8/26/2011,40,14.32,6.26,10.6,35.5,56.6,16.9,29.8,20.1,499,10.1,4.25,8.75,0.73,0.44,0.04,0.1,Yes
208000110,110,406,2,2,8,3.1,,13,13002,7/17/2011,8/11/2011,8/26/2011,40,15,6.3,10.1,34.1,54.1,16.1,29.7,18.3,617,9.9,3.77,10.26,0.59,0.12,0.06,0.21,Yes
208000207,207,9711,2,2,8,3.1,,15,9502,7/17/2011,8/11/2011,8/26/2011,40,16.54,6.34,10.4,35.1,55.4,16.4,29.5,19.1,450,11.5,9.71,5.97,0.56,0.22,0.02,0.05,Yes
208000209,209,9711,2,2,8,3,,13,9502,7/17/2011,8/11/2011,8/26/2011,40,17.69,5.72,9.6,32.9,57.6,16.7,29,19.3,579,10.6,7.02,8.67,1.61,0.23,0.07,0.09,Yes
208000210,210,9711,2,2,8,2.8,,14.5,9502,7/17/2011,8/11/2011,8/26/2011,40,17.53,6.18,10.3,35,56.7,16.6,29.3,18.9,633,10.1,8.85,7.91,0.35,0.09,0.04,0.32,Yes
208000310,310,17008,2,1,8,2.7,,13,15901,7/18/2011,8/11/2011,8/26/2011,39,13.72,7.08,11.6,38.2,53.9,16.3,30.3,20.2,699,9.7,4.65,8.16,0.58,0.26,0.03,0.04,Yes
208000311,311,17008,2,1,8,2.6,,13,15901,7/18/2011,8/11/2011,8/26/2011,39,16.68,7.32,11.9,39.7,54.2,16.3,30,21.9,786,8.8,6.96,8.57,0.67,0.35,0.05,0.07,Yes
208000312,312,17008,2,1,8,2.2,,12,15901,7/18/2011,8/11/2011,8/26/2011,39,37.75,6.62,10.1,33.4,50.4,15.2,30.2,23.4,925,9.3,26.99,8.72,1.17,0.64,0.04,0.15,Yes
208000406,406,13003,2,2,8,3.4,,15.5,504,7/18/2011,8/11/2011,8/26/2011,39,17.01,6.62,11.3,37.7,56.8,17.1,30.1,18.2,720,9.5,7.79,8.45,0.49,0.17,0.05,0.07,Yes
208000407,407,13003,2,2,8,2.8,,13,504,7/18/2011,8/11/2011,8/26/2011,39,12.91,5.77,10,33.4,57.9,17.3,29.9,17.4,551,9.4,7.4,4.82,0.25,0.17,0.01,0.27,Yes
208000508,508,11804,2,1,8,3.7,,14.5,10905,7/19/2011,8/11/2011,8/26/2011,38,13.1,6.6,10.4,34.5,52.2,15.7,30.2,18.4,861,9.3,5.52,6.79,0.38,0.17,0.03,0.21,Yes
208000510,510,11804,2,1,8,3.2,,10,10905,7/19/2011,8/11/2011,8/26/2011,38,14.14,5.63,10.2,33.3,59.2,18.1,30.6,17.1,459,10.4,8.65,4.77,0.58,0.07,0.01,0.07,Yes
208000512,512,11804,2,1,8,2.7,,10.5,10905,7/19/2011,8/11/2011,8/26/2011,38,26.78,6.18,10.4,34.2,55.3,16.8,30.5,18.1,716,10.1,15.05,10.52,0.56,0.13,0.05,0.46,No
208000611,611,3408,2,1,8,2.8,,12,11403,7/20/2011,8/11/2011,8/26/2011,37,9.78,5.8,9.2,30.9,53.3,15.9,29.8,23.8,320,13.2,5.77,3.06,0.79,0.13,0.01,0.03,Yes
208000612,612,3408,2,1,8,2.7,,11,11403,7/20/2011,8/11/2011,8/26/2011,37,20.76,6.05,11.2,37.2,61.6,18.6,30.2,16.9,262,12.5,11.85,7.6,0.73,0.12,0.06,0.39,Yes
208000709,709,15210,2,2,8,4,,14.5,13002,7/20/2011,8/11/2011,8/26/2011,37,17.41,6.68,10.9,37.3,55.7,16.3,29.3,19.8,546,9.2,4.47,11.77,0.57,0.1,0.05,0.42,Yes
208000710,710,15210,2,2,8,4,,14,13002,7/20/2011,8/11/2011,8/26/2011,37,12.39,5.64,9.3,31.1,55,16.5,29.9,18.7,598,10,5.45,6.26,0.2,0.2,0.02,0.26,Yes
208000807,807,506,2,2,8,3.6,,14,9502,7/20/2011,8/11/2011,8/26/2011,37,13.46,5.17,9,30,58.1,17.3,29.9,23.4,681,9.6,7.5,4.28,0.5,0.9,0.01,0.27,Yes
208000809,809,506,2,2,8,3.2,,16,9502,7/20/2011,8/11/2011,8/26/2011,37,25.3,6.3,9.6,33.9,53.8,15.2,28.2,21.4,595,9.3,14.14,9.06,1.14,0.76,0.05,0.15,Yes
208000811,811,506,2,2,8,2.6,,12.5,9502,7/20/2011,8/11/2011,8/26/2011,37,15.16,5.21,9.5,32.3,62,18.3,29.5,24.4,611,9.1,7.14,7.03,0.42,0.29,0.03,0.24,Yes
208000909,909,4304,2,1,8,3,,10,15901,7/20/2011,8/11/2011,8/26/2011,37,17.14,6.99,11.9,39,55.8,17,30.5,20.1,434,11,7.88,7.52,0.62,0.82,0.03,0.24,Yes
208001005,1005,13504,2,2,8,3.1,,14,1802,7/20/2011,8/11/2011,8/26/2011,37,16.44,6.61,11,36.3,55,16.6,30.2,20.6,586,11.1,4.44,11.38,0.46,0.08,0.03,0.05,Yes
208001006,1006,13504,2,2,8,3,,14,1802,7/20/2011,8/11/2011,8/26/2011,37,24.33,6.08,10.6,36.6,60.2,17.4,28.9,18.5,531,11.9,12.07,11.07,0.71,0.15,0.07,0.29,Yes
208001107,1107,2509,2,2,8,3.3,,9,13502,7/20/2011,8/11/2011,8/26/2011,37,15.71,6.03,9.8,32.3,53.6,16.2,30.3,15.7,531,10.5,7.24,7.37,0.61,0.25,0.03,0.2,Yes
208001110,1110,2509,2,2,8,2.9,,10,13502,7/20/2011,8/11/2011,8/26/2011,37,17.88,6.47,10.9,34.4,53.2,16.9,31.8,14.9,470,11.2,6.2,10.57,0.75,0.25,0.05,0.07,Yes
208001111,1111,2509,2,2,8,2.7,,10,13502,7/20/2011,8/11/2011,8/26/2011,37,21.59,5.84,9.4,30,51.4,16.1,31.4,18,701,11.2,7.1,12.98,1.06,0.3,0.04,0.09,Yes
208001209,1209,16907,2,1,8,2.8,,9,3401,7/20/2011,8/11/2011,8/26/2011,37,10.65,5.81,10.6,34.9,60,18.2,30.3,16.2,388,10.8,5.25,4.91,0.27,0.09,0.02,0.12,Yes
208001212,1212,16907,2,1,8,2.3,,11,3401,7/20/2011,8/11/2011,8/26/2011,37,13.43,5.83,10.5,35.4,60.6,17.9,29.5,17.5,582,11,5.21,7.39,0.54,0.13,0.03,0.13,Yes
208001410,1410,10913,2,1,8,2.8,,13,17001,7/21/2011,8/11/2011,8/26/2011,36,13.34,6.84,10.9,36.5,53.4,16,30,22.8,496,10.1,5.52,7.11,0.43,0.23,0.03,0.04,Yes
208001411,1411,10913,2,1,8,3.1,,13,17001,7/21/2011,8/11/2011,8/26/2011,36,8.9,6.79,12,38.5,56.6,17.6,31.1,18,549,9.5,2.57,5.89,0.24,0.05,0.02,0.12,Yes
208001414,1414,10913,2,1,8,3,,13,17001,7/21/2011,8/11/2011,8/26/2011,36,13.49,6.23,10.1,33.2,53.3,16.2,30.5,22.9,585,10.8,7.68,5.15,0.45,0.12,0.03,0.07,Yes
208001505,1505,9713,2,2,8,2.8,,13,1802,7/21/2011,8/11/2011,8/26/2011,36,19.97,6.04,8.5,31,51.4,14.1,27.5,19.9,272,11,11.24,7.67,0.72,0.24,0.02,0.06,Yes
208001507,1507,9713,2,2,8,3.3,,12,1802,7/21/2011,8/11/2011,8/26/2011,36,11.57,5.37,10.5,30,55.8,19.6,35,17.2,729,11.8,5.02,5.81,0.34,0.31,0.01,0.07,Yes
208001508,1508,9713,2,2,8,3.1,,11,1802,7/21/2011,8/11/2011,8/26/2011,36,23.25,6.6,11.7,36.9,55.9,17.7,31.6,17.5,794,12.7,12.83,9.42,0.72,0.16,0.05,0.09,Yes
208001611,1611,108,2,2,8,2,,12,13002,7/21/2011,8/15/2011,8/26/2011,36,11.82,6.73,10.7,35.3,52.4,15.9,30.3,19.3,323,10.3,4.81,6.49,0.25,0.17,0.02,0.08,Yes
208001612,1612,108,2,2,8,1.6,,6,13002,7/21/2011,8/15/2011,8/26/2011,36,18.13,5.88,10.6,34.5,58.6,18.1,30.8,14.7,254,12.6,12.8,4.57,0.16,0.16,0.02,0.4,Yes
208001709,1709,11907,2,2,8,2.9,,16,13502,7/21/2011,8/15/2011,8/26/2011,36,8.91,6.9,9.9,35.7,51.8,14.4,27.8,27.2,290,8.1,3.31,4.61,0.34,0.52,0.02,0.11,Yes
